,TY 2020: 6% Rate,,,,,20% Rate,,30% Rate,
County,EITC claims,Amount,Returns,Avg. EITC,Takeup rate,Avg. EITC,Total,Avg. EITC,Total
Oceana,"2,040","$278,826","12,895",$136.68,16%,$455.60,"$929,420.00",$683.40,"$1,394,130.00"
Ogemaw,"1,665","$216,034","10,265",$129.75,16%,$432.50,"$720,113.33",$648.75,"$1,080,170.00"
Ontonagon,327,"$34,515","2,779",$105.55,12%,$351.83,"$115,050.00",$527.75,"$172,575.00"
Osceola,"1,942","$253,860","11,977",$130.72,16%,$435.74,"$846,200.00",$653.60,"$1,269,300.00"
Oscoda,550,"$69,072","3,078",$125.59,18%,$418.62,"$230,240.00",$627.93,"$345,360.00"
Otsego,"1,713","$213,566","11,920",$124.67,14%,$415.58,"$711,886.67",$623.37,"$1,067,830.00"
Ottawa,"12,886","$1,552,092","141,752",$120.45,9%,$401.49,"$5,173,640.00",$602.24,"$7,760,460.00"
Presque Isle,868,"$107,391","7,040",$123.72,12%,$412.41,"$357,970.00",$618.61,"$536,955.00"
Roscommon,"1,857","$225,209","12,853",$121.28,14%,$404.25,"$750,696.67",$606.38,"$1,126,045.00"
Saginaw,"15,314","$2,232,636","90,012",$145.79,17%,$485.97,"$7,442,120.00",$728.95,"$11,163,180.00"
St. Clair,"10,398","$1,311,502","80,857",$126.13,13%,$420.43,"$4,371,673.33",$630.65,"$6,557,510.00"
St. Joseph,"4,240","$550,030","28,099",$129.72,15%,$432.41,"$1,833,433.33",$648.62,"$2,750,150.00"
Sanilac,"2,876","$369,426","19,670",$128.45,15%,$428.17,"$1,231,420.00",$642.26,"$1,847,130.00"
Schoolcraft,543,"$68,847","4,146",$126.79,13%,$422.63,"$229,490.00",$633.95,"$344,235.00"
Shiawasee,"4,765","$601,928","35,776",$126.32,13%,$421.08,"$2,006,426.67",$631.61,"$3,009,640.00"
Tuscola,"3,852","$487,920","26,926",$126.67,14%,$422.22,"$1,626,400.00",$633.33,"$2,439,600.00"
Van Buren,"5,702","$749,585","37,533",$131.46,15%,$438.20,"$2,498,616.67",$657.30,"$3,747,925.00"
Washtenaw,"14,689","$1,689,012","165,203",$114.98,9%,$383.28,"$5,630,040.00",$574.92,"$8,445,060.00"
Wayne (excluding Detroit),"65,803","$9,235,166","484,716",$140.35,14%,$467.82,"$30,783,886.67",$701.73,"$46,175,830.00"
Wexford,"2,761","$347,642","17,010",$125.91,16%,$419.71,"$1,158,806.67",$629.56,"$1,738,210.00"
Outside of Michigan,"15,213","$1,801,743","221,812",$118.43,7%,$394.78,"$6,005,810.00",$592.17,"$9,008,715.00"
Detroit,"97,857","$16,454,991","327,912",$168.15,30%,$560.51,"$54,849,970.00",$840.77,"$82,274,955.00"
Totals,"666,093","$90,237,851","4,979,982",$135.47,13%,$451.58,"$300,792,836.67",$677.37,"$451,189,255.00"
Wayne (including Detroit),"163,660","$25,690,157","812,628",$156.97,20%,$523.24,"$85,633,856.67",$784.86,"$128,450,785.00"
,,,,,,,,,
"Prepared By: Office of Revenue and Tax Analysis, Michigan Department of Treasury",,,,,,,,,
Filename:,,,,,,,,,
Updated:,,,,,,,,,
Printed:,,,,,,,,,
